cgpa,package
6.69,5.68
9.28,8.47
8.29,7.61
7.69,6.56
5.7,6.06
5.7,5.37
5.26,4.14
8.9,8.34
7.71,6.45
8.19,7.76
5.09,5.16
9.36,8.01
8.75,8.36
5.96,5.57
5.82,5.65
5.83,6.2
6.37,5.61
7.36,6.25
6.94,5.8
6.31,5.27
7.75,6.94
5.63,5.24
6.31,5.82
6.65,6.4
7.05,6.35
8.53,8.4
5.9,5.18
7.31,7.94
7.67,7.22
5.21,4.26
7.73,6.42
5.77,5.43
5.29,4.65
9.27,8.7
9.35,8.65
8.64,7.74
6.37,5.31
5.44,4.14
8.08,7.05
6.98,6.71
5.55,5.1
7.23,5.88
5.15,4.72
9.09,8.37
6.16,5.1
7.98,7.26
6.4,5.79
7.34,6.03
7.46,6.89
5.83,5.53
9.36,8.97
8.49,8.17
9.23,7.62
9.03,7.66
7.69,7.18
9.15,8.49
5.4,5.12
5.88,7.22
5.2,4.97
6.46,6.38
6.75,6.55
6.22,5.92
8.73,7.7
6.61,6.33
6.26,5.25
7.44,6.58
5.63,4.82
8.61,7.79
5.34,5.96
9.44,7.56
8.48,7.98
5.89,4.49
5.02,4.28
8.67,8.35
8.18,7.39
8.28,6.91
8.47,7.27
5.33,5.14
6.61,5.58
5.52,5.08
8.88,8.01
7.8,6.69
6.49,6.91
5.29,5.08
6.4,4.75
6.46,5.91
8.28,7.12
7.87,7.51
8.99,7.69
7.12,6.35
5.54,5.24
8.21,7.82
8.42,6.98
7.53,6.61
8.47,7.39
7.22,6.17
7.35,7.5
6.92,6.43
5.11,3.97
5.49,5.4
5.14,5.69
7.86,7.59
6.41,5.01
7.29,6.32
9.08,8.81
6.12,5.15
6.85,6.39
8.4,7.95
6.03,4.96
5.35,4.79
6.3,4.05
5.73,4.64
9.18,8.14
8.64,7.15
7.85,7.88
8.92,7.31
8.62,7.54
5.84,5.32
9.02,8.84
7.43,5.97
8.63,8.35
9.03,8.13
6.43,5.3
5.5,5.18
6.03,5.53
6.92,5.93
8.68,7.85
8.87,7.79
5.03,4.58
7.3,6.9
6.88,6.99
6.0,4.78
5.54,6.05
6.52,4.89
9.24,8.24
6.45,6.1
7.33,6.74
8.16,7.03
6.64,5.87
9.37,8.19
9.33,8.1
6.13,5.94
7.24,6.69
6.35,5.37
6.28,6.1
5.17,4.81
7.74,7.37
7.26,6.85
5.23,4.29
6.25,5.34
9.09,8.55
6.08,5.78
5.65,5.07
7.2,6.54
9.44,9.13
6.09,5.19
8.02,7.49
8.43,7.49
6.07,5.35
8.28,8.0
6.66,6.41
7.85,7.47
7.85,7.72
7.41,6.68
5.41,5.21
8.76,7.73
6.44,5.96
5.84,5.19
5.18,4.71
7.66,7.19
8.05,6.84
5.07,5.61
7.3,6.07
6.02,4.81
7.9,7.69
5.78,5.6
8.11,7.61
6.74,6.38
9.22,8.29
5.62,4.61
6.53,5.91
5.51,4.62
9.16,8.73
8.95,7.98
6.16,5.13
7.97,7.01
8.68,8.02
7.5,6.47
7.38,6.23
6.09,5.6
5.42,5.0
9.04,7.88
9.05,7.91
7.85,7.18
6.53,5.15
6.57,5.21
8.27,7.08
9.04,8.03
8.99,8.25
8.51,8.4
